Header Size:	8
Name:	STANDARDIZED 
Date:	Fri Feb 27 16:45:56 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	1637
0.000293	0.004649	0.001127
0.000303	0.004664	0.001128
0.000312	0.004681	0.001128
0.000321	0.004695	0.001129
0.000331	0.004708	0.001130
0.000340	0.004722	0.001131
0.000350	0.004737	0.001131
0.000359	0.004751	0.001132
0.000370	0.004763	0.001131
0.000379	0.004777	0.001132
0.000390	0.004791	0.001132
0.000400	0.004803	0.001131
0.000411	0.004813	0.001130
0.000421	0.004825	0.001132
0.000432	0.004837	0.001131
0.000441	0.004849	0.001132
0.000451	0.004860	0.001133
0.000463	0.004870	0.001132
0.000475	0.004882	0.001131
0.000487	0.004894	0.001130
0.000499	0.004904	0.001128
0.000512	0.004913	0.001127
0.000526	0.004922	0.001124
0.000539	0.004931	0.001122
0.000552	0.004941	0.001121
0.000565	0.004951	0.001118
0.000579	0.004960	0.001116
0.000593	0.004969	0.001113
0.000607	0.004979	0.001110
0.000622	0.004989	0.001107
0.000637	0.004998	0.001103
0.000651	0.005007	0.001101
0.000667	0.005015	0.001097
0.000682	0.005023	0.001093
0.000697	0.005030	0.001091
0.000712	0.005039	0.001087
0.000727	0.005047	0.001083
0.000744	0.005056	0.001078
0.000759	0.005065	0.001076
0.000775	0.005072	0.001071
0.000791	0.005080	0.001067
